,bpm,source,timestamp
0,68,awake,2025-03-05T00:00:06+00:00
1,73,awake,2025-03-05T00:08:18+00:00
2,77,awake,2025-03-05T00:09:06+00:00
3,68,awake,2025-03-05T00:09:08+00:00
4,71,awake,2025-03-05T00:18:45+00:00
5,75,awake,2025-03-05T00:18:46+00:00
6,70,awake,2025-03-05T00:19:06+00:00
7,79,awake,2025-03-05T00:28:34+00:00
8,75,awake,2025-03-05T00:28:41+00:00
9,76,awake,2025-03-05T00:28:50+00:00
10,73,awake,2025-03-05T00:34:24+00:00
11,79,awake,2025-03-05T00:34:27+00:00
12,68,awake,2025-03-05T00:34:45+00:00
13,68,awake,2025-03-05T01:04:05+00:00
14,64,awake,2025-03-05T01:04:08+00:00
15,61,awake,2025-03-05T01:04:43+00:00
16,71,awake,2025-03-05T01:24:11+00:00
17,65,awake,2025-03-05T01:24:24+00:00
18,60,awake,2025-03-05T01:24:42+00:00
19,63,awake,2025-03-05T01:33:59+00:00
20,66,awake,2025-03-05T01:34:41+00:00
21,59,awake,2025-03-05T01:34:54+00:00
22,78,awake,2025-03-05T01:44:05+00:00
23,70,awake,2025-03-05T01:44:38+00:00
24,74,awake,2025-03-05T01:45:13+00:00
25,80,awake,2025-03-05T01:54:00+00:00
26,72,awake,2025-03-05T01:54:17+00:00
27,77,awake,2025-03-05T01:54:22+00:00
28,71,awake,2025-03-05T02:04:13+00:00
29,73,awake,2025-03-05T02:04:28+00:00
30,65,awake,2025-03-05T02:14:09+00:00
31,67,awake,2025-03-05T02:14:33+00:00
32,61,awake,2025-03-05T02:14:47+00:00
33,72,awake,2025-03-05T02:24:03+00:00
34,65,awake,2025-03-05T02:25:18+00:00
35,69,awake,2025-03-05T02:25:38+00:00
36,83,awake,2025-03-05T02:34:09+00:00
37,87,awake,2025-03-05T02:34:36+00:00
38,92,awake,2025-03-05T02:34:45+00:00
39,75,awake,2025-03-05T02:43:00+00:00
40,78,awake,2025-03-05T02:43:16+00:00
41,71,awake,2025-03-05T02:43:25+00:00
42,74,awake,2025-03-05T02:47:19+00:00
43,67,awake,2025-03-05T02:47:21+00:00
44,71,awake,2025-03-05T02:47:22+00:00
45,74,awake,2025-03-05T02:50:35+00:00
46,76,awake,2025-03-05T02:51:07+00:00
47,77,awake,2025-03-05T02:51:08+00:00
48,72,awake,2025-03-05T02:53:02+00:00
49,67,awake,2025-03-05T02:53:16+00:00
50,77,awake,2025-03-05T02:53:48+00:00
51,74,awake,2025-03-05T02:58:07+00:00
52,79,awake,2025-03-05T02:58:21+00:00
53,83,awake,2025-03-05T02:59:08+00:00
54,58,awake,2025-03-05T03:03:33+00:00
55,64,awake,2025-03-05T03:04:55+00:00
56,59,awake,2025-03-05T03:04:59+00:00
57,57,awake,2025-03-05T03:13:55+00:00
58,64,awake,2025-03-05T03:13:59+00:00
59,59,awake,2025-03-05T03:14:03+00:00
60,64,awake,2025-03-05T03:23:21+00:00
61,68,awake,2025-03-05T03:23:22+00:00
